step	slope_50
1065	0.0026703481392556833
1066	0.0026908043217286973
1067	0.002936470588235304
1068	0.0021528451380552678
1069	0.0021282593037214776
1070	0.0010865306122448883
1071	0.002121536614645841
1072	0.00257291716686674
1073	0.0015495798319327826
1074	0.0008316446578630854
1075	0.0007627851140455796
1076	0.00013954381752700272
1077	-0.0003103481392557151
1078	-0.0003629771908763568
1079	-0.00022237695078030888
1080	-0.0004104681872749188
1081	0.00020316926770710478
1082	0.0022810084033612933
1083	0.0028609843937575027
1084	0.002648067226890715
1085	0.0017758463385354375
1086	0.0008161824729891893
1087	0.001031260504201742
1088	0.00023995198079229685
1089	0.0013500600240095818
1090	0.0016503721488595345
1091	0.0014928211284514334
1092	0.000572773109243682
1093	0.00037258103241297706
1094	0.0008130612244898044
1095	-0.0003968307322929171
1096	-0.0005292677070827854
1097	-0.0009313805522208758
1098	-0.0015638415366146482
1099	-0.0017384393757502376
1100	-0.0020720768307322963
1101	-0.002710012004801903
1102	-0.002411236494597811
1103	-0.002890996398559394
1104	-0.002901368547418934
1105	-0.003692196878751441
1106	-0.00459755102040808
1107	-0.004812100840336168
1108	-0.004036494597839145
1109	-0.0039427611044417395
1110	-0.004630156062424971
1111	-0.005012917166866739
1112	-0.005615222088835527
1113	-0.00547630252100845
1114	-0.00563817527010802
1115	-0.004272460984393786
1116	-0.0036910924369747858
1117	-0.0038208883553421807
1118	-0.0036303481392556992
1119	-0.0038269867947178637
1120	-0.003319663865546191
1121	-0.0025028091236494786
1122	-0.002174165666266552
1123	-0.0022853781512605087
1124	-0.0015350300120047932
1125	-0.002679231692677064
1126	-0.0034127731092436662
1127	-0.003298679471788734
1128	-0.0035282112845137826
1129	-0.003551884753901491
1130	-0.004162833133253302
1131	-0.003875582232893389
1132	-0.0019843937575030105
1133	-0.0023449699879952057
1134	-0.002160096038415367
1135	-0.002318751500600174
1136	-0.0030619447779111977
1137	-0.0013630252100840833
1138	-0.0007125570228090724
1139	0.0008679471788716251
1140	0.0009864105642257042
1141	0.0010364945978391393
1142	0.0011438655462185333
1143	0.002110876350540116
1144	0.0024041296518607425
1145	0.001944873949579845
1146	0.0022011044417767304
1147	0.0021576470588235523
1148	0.0026321728691476353
1149	0.0035194717887154707
1150	0.003452436974789938
